17471,92.3,1,1,Failed
12919,230.39,1,2,DEBIT
12919,230.39,2,1,CREDIT
12799,547.9,1,1,Failed
17080,90.74,1,3,DEBIT
17080,90.74,3,1,CREDIT
16043,80.2,1,1,Failed
14151,749.98,1,2,DEBIT
14151,749.98,2,1,CREDIT
17102,532.26,1,1,Failed
18478,645.11,1,1,Failed
13027,791.43,1,3,CREDIT
13027,791.43,3,1,DEBIT
13581,151.88,1,1,Failed
15113,587.77,1,1,Failed
13626,110.98,1,3,DEBIT
13626,110.98,3,1,CREDIT
17382,417.02,1,2,CREDIT
17382,417.02,2,1,DEBIT
18962,686.02,1,3,DEBIT
18962,686.02,3,1,CREDIT
17941,535.02,1,3,CREDIT
17941,535.02,3,1,DEBIT
18041,528.89,1,1,Failed
18745,582.73,1,1,Failed
14492,807.51,1,1,Failed
16126,566.85,1,2,DEBIT
16126,566.85,2,1,CREDIT
18599,934.61,1,2,CREDIT
18599,934.61,2,1,DEBIT
19338,506.05,1,1,Failed
15222,772.77,1,2,CREDIT
15222,772.77,2,1,DEBIT
14238,925.89,1,3,CREDIT
14238,925.89,3,1,DEBIT
14219,506.47,1,1,Failed
18726,371.14,1,1,Failed
13554,839.4,1,1,Failed
16886,102.97,1,1,Failed
16921,563.69,1,1,Failed
17515,914.17,1,2,DEBIT
17515,914.17,2,1,CREDIT
14598,742.36,1,2,DEBIT
14598,742.36,2,1,CREDIT
19264,39.12,1,3,CREDIT
19264,39.12,3,1,DEBIT
13903,481.61,1,2,CREDIT
13903,481.61,2,1,DEBIT
15216,63.17,1,1,Failed
16631,770.7,1,1,Failed
16987,213.78,1,1,Failed
18454,155.64,1,1,Failed
13966,43.42,1,2,DEBIT
13966,43.42,2,1,CREDIT
17622,769.04,1,1,Failed
14580,595.0,1,1,Failed
16729,971.75,1,3,DEBIT
16729,971.75,3,1,CREDIT
14467,997.4,1,2,DEBIT
14467,997.4,2,1,CREDIT
13943,412.96,1,1,Failed
14779,993.63,1,3,DEBIT
14779,993.63,3,1,CREDIT
16703,684.35,1,2,DEBIT
16703,684.35,2,1,CREDIT
19245,864.96,1,1,Failed
13536,915.43,1,3,DEBIT
13536,915.43,3,1,CREDIT
14070,387.28,1,3,CREDIT
14070,387.28,3,1,DEBIT
12986,165.81,1,2,CREDIT
12986,165.81,2,1,DEBIT
15598,69.5,1,3,DEBIT
15598,69.5,3,1,CREDIT
14419,544.11,1,2,CREDIT
14419,544.11,2,1,DEBIT
16886,943.2,1,1,Failed
16342,696.87,1,1,Failed
14963,240.67,1,1,Failed
14561,505.98,1,1,Failed
16076,354.12,1,1,Failed
17998,256.41,1,3,CREDIT
17998,256.41,3,1,DEBIT
14190,9.49,1,1,Failed
15901,951.14,1,1,Failed
13020,326.11,1,2,CREDIT
13020,326.11,2,1,DEBIT
13658,877.78,1,1,Failed
14486,644.77,1,1,Failed
16791,696.63,1,1,Failed
19290,21.04,1,3,CREDIT
19290,21.04,3,1,DEBIT
16864,311.2,1,1,Failed
18568,799.66,1,3,DEBIT
18568,799.66,3,1,CREDIT
17146,295.87,1,2,CREDIT
17146,295.87,2,1,DEBIT
13040,764.53,1,1,Failed
13942,905.37,1,1,Failed
14673,705.69,1,2,DEBIT
